ID,Critical Measures Visible,Date Accessed,Search term,Search page,Link,Video Title,Conductor Name,Baton,L.1-2.HandShape,L.3-5.HandShape,R.1-2.HandShape,R.3-5.HandShape,L.1-2.PalmOrientation,L.3-5.PalmOrientation,R.1-2.PalmOrientation,R.3-5.PalmOrientation,L.6-8.HandShape,R.6-8.HandShape,L.6-8.PalmOrientation,R.6-8.PalmOrientation,1-2.Cutoff,3-5.Cutoff,ExcludeYesNo,DownloadAvailability,FirstMeasuresBroken,AmandaComments,BodoComments,FullAuditoryPauseAfter1-2,FullAuditoryPauseAfter3-5
29,NO,6/22/2015,beethoven 5th symphony conducting,8,https://www.youtube.com/watch?v=FC_q57KJr-s,"Beethoven Symphony No. 5, mvt I (MYSO Chamber Orchestra 5/15/10)",Carter Simmons,Yes,,,,,,,,,,,,,,,exclude,yes,NA,"Conductor viewable from behind; going back to this video, I realized the hands can't be seen clearly. This video is probably unusable","Yes, let's just do it as ""not visible""",,
30,NO (conducting @ 0:39),6/22/2015,beethoven 5th symphony conducting,9,https://www.youtube.com/watch?v=s_w-dKNol5I,Beethoven 5 mov.1 by the Bristol University Chamber Orchestra,Adam Bermon,Yes,,,,,,,,,,,,,,,exclude,yes,NA,Viewable from behind from up close. It appears as though his LH orienation is down for almost all measures even though we don't get a very good view. Hard to tell which gestures are open/closed. Should we still use this?,"Also ""not visible"" (very difficult to judge)",,
31,yes,6/22/2015,beethoven 5th symphony conductor,2,https://www.youtube.com/watch?v=kBU7hIqMUI4,Beethoven Symphony No 5 C minor Charles Munch Boston Symphony Orchestra,Charles Munch,Yes,fist,fist,fist,fist,"NA
",NA,NA,NA,open,fist,down,NA,no,no,ok,yes,no,"Was able to download video, but went to check on 3/7/16 and the video was removed due to a copyright issue. Probably shouldn't show footage of this one.",,,
32,NO (conducting @ 0:52),6/22/2015,beethoven 5th symphony conductor,3,https://www.youtube.com/watch?v=BE8mJAdoFFE,Beethoven | Symphony No.5 - I. Allegro con brio,GÙrer Aykal,Yes,,,,,,,,,,,,,,,exclude,yes,NA,Viewable from behind partially - appears to be making precision grip gestures the whole time,"Can't see the hand shapes here enough, also ""not visible""",,
33,yes,6/22/2015,beethoven 5th symphony conductor,4,https://www.youtube.com/watch?v=Y-6VS6Q-BOw,Beethoven Symphony No 5 C minor minor Frans BrÙggen,Frans BrÙggen,No,open,open,open,open,down,down,down,down,open,open,down,down,yes,yes,ok,no,NA,"No baton; for the 3-5 cutoff he does a much smaller gesture that seems like a precision grip, but since he makes this gesture only during the rest I think we should classify it as a cutoff gesture",,,
34,NO,6/22/2015,beethoven 5th symphony conductor,4,https://www.youtube.com/watch?v=KMimdBSMtxY,"Louisville Youth Orchestra, Symphony 11-21-10 Beethoven 5th, 1st Movement.MPG",Jason Seber,Yes,,,fist,fist,down,down,NA,NA,open,fist,down,NA,,,exclude,yes,NA,"Viewable from behind - hard to see left hand during 1-5, appears to be facing downwards entire time, but not sure if open or closed at this time",Also not visible,,
35,yes,6/22/2015,beethoven 5th symphony conductor,5,https://www.youtube.com/watch?v=ZYLHFGhPUsM,Beethoven's 5th Symphony,Michael McNamara,Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,NA,NA,open,fist,down,NA,yes,yes,ok,yes,"yes, slight background noise",Viewable from behind,,,
36,NO,6/22/2015,beethoven 5th symphony conductor,7,https://www.youtube.com/watch?v=uE6EYCXFlsA,Beethoven's 5th - Massapequa High School Symphony Orchestra,Marjorie Spagnuolo,Yes,,,fist,fist,,,NA,NA,,fist,,NA,,,exclude,yes,NA,Amateur orchestra - viewable from behind - hard to see left hand shapes,Also not visible,,
37,NO,6/22/2015,beethoven 5th symphony conductor,7,https://www.youtube.com/watch?v=SaX1O_1S7Wg,"Plastic Acid - Beethoven's 5th Symphony, 1st Movement",Bryan Deans,Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,NA,NA,,fist,,NA,,,exclude,yes,NA,Visible from behind - precision grip from 6-8,Also not visible,,
38,somewhat,6/22/2015,beethoven 5th symphony conductor,8,https://www.youtube.com/watch?v=cvNi2-hxk8I,"Beethoven Symphony no.5 in C Minor, 1st mov . Conductor: Roit Feldenkreis",Roit Feldenkreis,Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,NA,NA,open,fist,down,NA,no,yes,ok,no,NA,,,,
39,NO,6/22/2015,beethoven 5th symphony conductor,8,https://www.youtube.com/watch?v=9vb0rNlKVd8,"Beethoven 5th - 1st Mvt by the Student Symphonic Orchestra of Fairfax, Virginia",Matthew Martz,Yes,,,,,,,,,,,,,,,exclude,yes,NA,Visible from behind/ the side - hard to see left hand. Should we exclude this video?,Also not visible,,
40,yes,6/25/2015,beethoven 5th symphony orchestra,1,https://www.youtube.com/watch?v=9jCxdjcXuGE,Beethoven Symphony No 5 - Seiji Ozawa (FULL),Seiji Ozawa,No,fist,"fist>precision grip
",fist,"
fist>precision grip",NA,NA,NA,NA,open,open,down,down,no,no,ok,yes,no,Precision grip gesture made in 4-5,"Yes, lets do ""precision grip""",,
41,somewhat (start @1:12),6/25/2015,beethoven 5th symphony orchestra,2,https://www.youtube.com/watch?v=D7O62hCIq84,Beethoven's 5th Symphony 1st Movement played by the Stanford Symphony Orchestra Vienna 6_28_13,Jindong Cai,Yes,open,open,fist,fist,down,down,NA,NA,open,fist,down,NA,no,yes,ok,yes,"yes, muffled background interference",,,,
42,somewhat,6/25/2015,beethoven 5th symphony orchestra,2,https://www.youtube.com/watch?v=4T3D5Q6Eq2w,Beethoven Symphony No 5 (1st movement),Riccardo Muti,Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,NA,NA,NA,NA,NA,NA,no,yes,ok,yes,"yes, lots of background noise",Measures 6-8 not visible,,,
43,somewhat (start @1:59),6/25/2015,beethoven 5th symphony orchestra,6,https://www.youtube.com/watch?v=6G0yom05pts,Beethoven's 5th played by the Springfield Symphony Youth Orchestra at 2014 Season premiere.,Jonathan Lam,Yes,fist>open,fist>open,fist,fist,NA>down,NA>down,NA,NA,open,fist,down,NA,yes,yes,ok,yes,no,,,,
44,yes,6/25/2015,beethoven 5th symphony orchestra,7,https://www.youtube.com/watch?v=rptRkKgRO7o,Beethoven's 5th Symphony by Piotr Kopinski and the Black Pearl Chamber Orchestra,Piotr Kopinski,Yes,fist>open,fist>open,fist,fist,NA>down,NA>down,NA,NA,open,fist,down,NA,yes,no,ok,yes,"yes, bad audio quality all around","There is a sound from the audience in one of the critical measures; also, he does a quick wrist/forearm flick after 3-5. Should we consider this a cutoff gesture? It seems much shorter than his cutoff for 1-2, though I have noticed in other videos some conductors use ""different-sized"" cutoff gestures at each point.",not sure yet... very very difficult to classify,,
45,somewhat (@0:31),6/25/2015,beethoven 5th symphony orchestra,7,https://www.youtube.com/watch?v=_W2hERVqwBA,Fort Worth Youth Orchestra ~ Beethoven 5th Symphony 1st mvt,German Gutierrez,Yes,fist,fist,fist,fist,NA,NA,NA,NA,open,fist,down,NA,no,yes,ok,yes,Yes but just barely slightly a freckle of noise,,,,
46,NO,6/25/2015,beethoven 5th symphony orchestra,8,https://www.youtube.com/watch?v=qSRtVSavFUo,Brookwood HS Philharmonic Orchestra: Beethoven's 5th Symphony,Cathie Hudnall,Yes,,,,,,,,,,,,,,,exclude,yes,NA,"Low video quality and though you can see conductor's arm movements, it's hard to see the hand shapes. Should we exclude this video?",Yes,,
47,NO (@ 2:51),6/25/2015,beethoven 5th symphony orchestra,9,https://www.youtube.com/watch?v=xZKG4eobZrk,Broward Orchestra Beethoven 5th Symphony Intro,Zoe Zeniodi,Yes,,,,,,,,,open,fist,down,NA,,,exclude,yes,NA,Difficult to see left hand. Should we exclude this video?,Yes,,
48,somewhat,6/25/2015,beethoven 5th symphony orchestra,10,https://www.youtube.com/watch?v=RyKpBqEt0Sg,Beethoven 5th Symphony Allegro con brio (FYSO/Courbevoie),Davin Pierson Torre,Yes,NA>open,NA>open,fist,fist,NA>down,NA>down,NA,NA,open,fist,down,NA,no,no,ok,yes,"yes, but just slightly","For some reason this conductor completely drops her left hand to her side during measure 1 and measure 3, though she picks it up again for the sustained notes at 2 and 4-5. How should I classify this?","Let's classify this as ""NA"" for everything during those measures that it's down; it's not really a gesture if it's not in gesture space and it doesn't seem to be communicative",,
49,somewhat,6/25/2015,beethoven 5th symphony orchestra,10,https://www.youtube.com/watch?v=iFSIp2VshQ8,Beethoven : Symphony No.5 _Pletnev / Russian National Orchestra_ 1/3,Mikhail Vasilievich Pletnev,Yes,open,open,fist,fist,down,down,NA,NA,precision grip,fist,NA,NA,yes,yes,ok,yes,no,Is he using a closed or precision grip gesture for 6-8?,"I would say ""inward"" then ""precision grip"" for 1-5, and then ""precision grip"" for 6-8; it's a bit ambiguous and perhaps in the visibility column we should add ""difficult"" or so",,
50,somewhat,6/25/2015,beethoven 5th symphony orchestra,10,https://www.youtube.com/watch?v=xHf27uezuAY,Scripps ranch orchestra Beethoven's 5th symphony.m4v,Russell Shedd,Yes,NA,NA,fist,fist,NA,NA,NA,NA,open,fist,down,NA,yes,yes,ok,yes,yes but just a tiny bit of background noise,"This conductor also drops his left hand to his side for measures 1-5, only lifting for the cut-off gesture. How do I classify this?","Phew, that's a tricky one... I would say that with the LH1-3 LH3-5 and LH6-8 thing, we are actually after those measures that are really DURING those measures (i.e., during their entirety, or most of the time); this seems like something different; let's put NA to this (it is not going to bias the results in any way then)",,
51,yes,6/25/2015,beethoven 5th symphony orchestra,10,https://www.youtube.com/watch?v=C99WlcDc9-k,Beethoven Symphony No. 5: I - UNC Symphony Orchestra,Tonu Kalam,Yes,fist,fist,fist,fist,NA,NA,NA,NA,precision grip,fist,NA,NA,no,yes,ok,yes,no,Uses precision grip gesture for 6-8,"Yes, very clear!",,
52,somewhat,6/25/2015,beethoven 5th symphony orchestra,11,https://www.youtube.com/watch?v=FQHv9T_HUpA,Beethoven's 5th Symphony Movement 1,(name not given),Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,NA,NA,open,fist,down,NA,yes,yes,ok,yes,yes but just a freckle of noise,,,,
53,NO,6/25/2015,beethoven 5th symphony orchestra,11,https://www.youtube.com/watch?v=8_d7crRDVSw,Beethoven 5th Symphony 1st movement,Alex Wasserman,Yes,,,,,,,,,,,,,,,exclude,yes,NA,Background audience noise during critical measures and hard to see left hand clearly. Should we exclude this video?,Yes,,
54,NO,6/25/2015,beethoven 5th symphony orchestra,12,https://www.youtube.com/watch?v=CcQd_pPmc1M,BEETHOVEN 5th SYMPHONY,Paul Rodriguez,Yes,,,,,,,,,,,,,,,exclude,yes,NA,"Poor video quality, hard to see left hand. Exclude?",Yes,,
55,somewhat,6/25/2015,beethoven 5th symphony orchestra,13,https://www.youtube.com/watch?v=l-MlEd2-GQk,LHS Orchestra plays Beethoven's 5th,Elizabeth Hankins,Yes,NA,NA,fist,fist,NA,NA,NA,NA,open,fist,down,NA,yes,no,ok,yes,no,"Hard to see her left hand for 1-5, she drops her left hand to side during measure 3. Should we use this video?","Yes, for now",,
56,somewhat,6/25/2015,beethoven 5th symphony orchestra,15,https://www.youtube.com/watch?v=7DNIM-GlUMw,Beethoven 5th Symphony,Perry Holbrook,Yes,open>point,point,fist,fist,down>NA,NA,NA,NA,open>point,fist,down>NA,NA,yes,yes,ok,yes,no,"Keeps doing a pointing gesture rather than a precision grip or strictly open/close hand gesture. How should we classify? Added later: I classfied the point handshape as ""NA"" palm orientation","Well, I'd say that the hand is clearly down for the beginning of 6-8 and then a point follows?",,
57,NO,6/25/2015,beethoven 5th symphony orchestra,15,https://www.youtube.com/watch?v=p9Fpnmcxld4,"Christian Life School Orchestra - Beethoven's Fifth Symphony, 1st Movement
",Randy Dissmore,Yes,,,,,,,,,,,,,,,exclude,yes,NA,Hard to see left hand. Exclude?,Yes,,
58,yes,6/25/2015,beethoven 5th symphony first movement,1,https://www.youtube.com/watch?v=br1EMrlGXyw,Beethoven Symphony 5 Movement I (Annotated Analysis),Paavo J_rvi,Yes,fist,fist,fist,fist,NA,NA,NA,NA,precision grip,fist,NA,NA,no,yes,ok,yes,"yes, some light clapping in the very beginning",Precision grip for 6-8,"Definitely! Also notice that this is one of the clear examples of ""fist + fast duration"" cases...",,
59,NO (@0:59),6/26/2015,beethoven 5th symphony first movement,5,https://www.youtube.com/watch?v=kZJBqv5VvVw,Beethoven 5th Symphony 1st Movement,(name not given),Yes,,,,,,,,,,,,,,,exclude,yes,NA,Hard to see left hand. Exclude?,Yes,,
60,NO,6/26/2015,beethoven 5th symphony first movement,5,https://www.youtube.com/watch?v=bonGzqoG5e4,Beethoven 5th. Symphony - 1st. Movement,(name not given),Yes,,,,,,,,,,,,,,,exclude,yes,NA,Hard to see left hand. Exclude?,Yes,,
61,yes (@3:46),6/26/2015,beethoven 5th symphony first movement,7,https://www.youtube.com/watch?v=dWXddHqAzbc,"Neumann, REHEARSAL (Beethoven, Symphony No. 5, 1st movement)",Vàclav Neumann,Yes,fist,fist,fist,fist,NA,NA,NA,NA,open,fist,down,NA,yes,yes,ok,yes,Didn't have this one in the audio files,,,,
62,NO,6/26/2015,beethoven 5th symphony first movement,7,https://www.youtube.com/watch?v=Xo83Mqu07qM,"Beethoven's 5th Symphony, 1st movement [TYSA EMF 7/28/2012]",Paul-Elliot Cobbs,Yes,,,,,,,,,,,,,,,exclude,yes,NA,This guy keeps dropping his hand to his side/ turning pages in the score. Exclude?,Yeah + very difficult to see left hand shape,,
63,yes (@0:27),6/26/2015,beethoven 5th symphony first movement,8,https://www.youtube.com/watch?v=Bzja63FoQKA,Beethoven's 5th 1st movement,Anthony Parnther,Yes,NA>open,open,fist,fist,NA>up,up,NA,NA,open,fist,up,NA,yes,yes,ok,yes,no,"Drops hand to side during measure 1, but all other measures are fine. How do we classify this?","NA for those measures, I'd say; also interesting that he's one of the few who has a clear case of ""up"" during the piano",,
64,yes,6/26/2015,beethoven 5th symphony first movement,8,https://www.youtube.com/watch?v=Yw9OfWrlbyk,Beethoven 5th. Symphony - IUDKSO - Mov.I,Ramiz Melik Aslanov,Yes,fist,fist,fist,fist,NA,NA,NA,NA,precision grip,fist,NA,NA,no,yes,ok,yes,no,He conducts without a score. Also uses precision grip gestures for 6-8,Yes for precision grip,,
65,yes (@0:53),6/26/2015,beethoven 5th symphony first movement,8,https://www.youtube.com/watch?v=2HDCsCndt2Q,"Beethoven's 5th, First Movement. Rendition by CVHS Symphony",Steven Hendee,Yes,fist>open,fist>open,fist,fist,NA>down,NA>down,NA,NA,open,fist,down,NA,no,no,ok,yes,"yes, some slight muffled background noise",,,,
66,NO,6/26/2015,beethoven 5th symphony first movement,9,https://www.youtube.com/watch?v=OfcVqJqN4zs,Amram conducts the 1st movement of Beethoven's 5th,David Amram,Yes,,,,,,,,,,,,,,,exclude,yes,NA,"Lower video and sound quality, recording from behind and from a bit of a distance, handshapes hard to see. Exclude?",Yes,,
67,somewhat,6/26/2015,beethoven 5th symphony first movement,10,https://www.youtube.com/watch?v=hIz4UOQ8vvw,"Freiburger Barockorchester - Beethoven's 5th, Allegro con brio",Gottfried von der Goltz,No,point,NA,point,NA,NA,NA,NA,NA,open,open,down,down,yes,yes,ok,no,NA,"Camera angle switches during 3-5, but for the most part he is still visible. During 1-2, he does a pointing gesture. How do we classify this? Added later: I just classified as ""point"" since I did so in previous videos","NA for those measures that can't be seen, let's make this visibility = ""difficult""; for handshape, let's make an ""other"" category",,
68,NO,6/26/2015,beethoven 5th symphony first movement,11,https://www.youtube.com/watch?v=WZgunMhvc_A,Beethoven's 5th,(name not given),Yes,,,,,,,,,,,,,,,exclude,yes,NA,"First two notes are not in the recording, but the rest is there. Decided not visible enough",,,
69,yes,6/26/2015,beethoven 5th symphony first movement,11,https://www.youtube.com/watch?v=TItiZO62ITA,Lucas Maia - Beethoven: Symphony n.5 - 1st movement,Lucas Maia,Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,NA,NA,precision grip,fist,NA,NA,no,yes,ok,yes,no,,,,
